id,L,a,b,hex_srgb,in_srgb
315,6.9375,49.125,-46.25,#2C0055,0
316,6.9375,66.125,-65.75,#260072,0
317,6.9375,85.25,-59.75,#4E0069,0
318,7.0625,45.0,4.5,#450010,0
319,7.125,35.625,2.25,#3C0014,0
320,7.125,100.75,-94.125,#2A009F,0
321,7.25,103.875,-76.75,#540084,0
322,7.25,108.0,-88.625,#480097,0
323,7.375,15.625,-19.25,#1D0F30,1
324,7.375,26.25,-22.5,#280534,1
325,7.375,82.0,-64.375,#450071,0
326,7.4375,8.625,-28.75,#00153D,0
327,7.5,-20.75,-19.875,#002031,0
328,7.5,-18.25,-22.375,#001F34,0
329,7.5,-17.25,-17.75,#001E2E,0
330,7.5,-15.75,-24.75,#001E37,0
331,7.5,-15.0,-19.875,#001E31,0
332,7.5,-13.875,-16.0,#001D2B,0
333,7.5,-13.0,-26.5,#001E3A,0
334,7.5,-12.625,-21.625,#001D33,0
335,7.5,-11.625,-17.625,#001C2E,0
336,7.5,-10.375,-14.125,#001C29,0
337,7.5,-10.0,-23.25,#001C35,0
338,7.5,-9.0,-17.125,#001B2D,0
339,7.5,-7.75,-13.75,#001B28,0
340,7.5,-7.0,-18.75,#001B2F,0
341,7.5,-5.875,-15.25,#001A2A,0
342,7.5,-5.625,-11.375,#001A25,0
343,7.5,-4.875,-20.625,#001A32,0
344,7.5,-4.125,-16.875,#00192D,0
345,7.5,-4.0,-13.125,#001928,0
346,7.5,-3.25,-10.0,#051924,1
347,7.5,-1.875,-17.0,#00192D,0
348,7.5,-1.875,-11.875,#051826,1
349,7.5,-1.125,-9.0,#0C1822,1
350,7.5,-0.125,-16.5,#00182C,1
351,7.5,0.0,-12.25,#091727,1
352,7.5,0.625,-9.375,#0F1723,1
353,7.5,1.5,-7.375,#131620,1
354,7.5,1.75,-12.125,#0E1726,1
355,7.5,3.125,-11.375,#111625,1
356,7.5,3.5,-8.625,#151622,1
357,7.5,4.25,-6.0,#18151E,1
358,7.5,4.375,-14.375,#101629,1
359,7.5,4.75,-11.25,#141525,1
360,7.5,5.375,-8.625,#181522,1
361,7.5,5.875,-5.25,#1B141D,1
362,7.5,6.75,-11.75,#171426,1
363,7.5,7.0,-7.875,#1B1421,1
364,7.5,7.5,-4.125,#1E131C,1
365,7.5,8.75,-6.875,#1E1320,1
366,7.5,9.375,-3.125,#21121B,1
367,7.5,10.625,-5.75,#21111E,1
368,7.5,11.375,-2.0,#241119,1
369,7.5,11.875,-8.625,#211122,1
370,7.5,13.25,-6.375,#24101F,1
371,7.5,13.625,-0.875,#260F18,1
372,7.5,14.875,-4.0,#270E1C,1
373,7.5,16.0,0.625,#2A0D16,1
374,7.5,17.25,-2.375,#2A0C1A,1
375,7.5,18.75,2.0,#2D0A14,1
376,7.5,20.0,-0.875,#2D0918,1
377,7.5,20.75,-48.0,#001259,0
378,7.5,21.75,3.75,#300712,1
379,7.5,23.0,0.875,#310616,1
380,7.5,25.375,5.875,#34030E,1
381,7.5,26.25,2.875,#340213,1
382,7.5,29.25,7.875,#39000A,0
383,7.5,32.625,-29.5,#2A003E,0
384,7.5,33.375,10.25,#3D0004,0
385,7.5,38.5,-9.5,#3D0024,0
386,7.5,40.0,-51.75,#0B005E,0
387,7.5,45.25,-18.0,#40002F,0
388,7.5,52.0,-29.75,#41003F,0
389,7.5,59.625,-53.875,#330062,0
390,7.5,66.125,-58.625,#360069,0
391,7.5,72.75,-66.375,#340075,0
392,7.5625,2.5,-15.375,#0A172B,1
393,7.5625,37.375,-58.125,#000568,0
394,7.5625,45.875,-11.375,#430027,0
395,7.5625,52.375,-43.875,#350053,0
396,7.5625,58.25,-27.125,#49003C,0
397,7.625,56.375,-69.25,#000079,0
398,7.625,107.25,-98.75,#2F00A8,0
399,7.6875,23.625,-28.25,#1F0A3D,1
400,7.6875,47.0,-0.25,#470019,0
401,7.6875,86.25,-72.375,#41007E,0
402,7.6875,88.25,-79.125,#380089,0
403,7.75,9.75,-10.125,#1D1324,1
404,7.75,48.375,-57.625,#120068,0
405,7.75,89.875,-88.5,#200098,0
406,7.75,93.0,-83.875,#370091,0
407,7.75,111.875,-83.25,#590090,0
408,7.8125,16.0,-36.625,#001349,0
409,7.8125,37.25,-2.5,#3E001C,0
410,7.8125,76.75,-81.375,#0E008D,0
411,7.875,53.75,-61.75,#15006E,0
412,7.875,117.75,-105.25,#3700B4,0
413,7.9375,66.75,-47.0,#460059,0
414,7.9375,89.0,-66.0,#4F0075,0
415,7.9375,117.375,-93.625,#5200A1,0
416,8.0,26.625,-16.125,#2E052D,1
417,8.0,43.0,-62.0,#00006F,0
418,8.0,65.875,-39.0,#4B004D,0
419,8.0625,12.25,-42.375,#001752,0
420,8.125,22.625,-7.625,#2F0922,1
421,8.1875,71.5,-42.625,#4F0053,0
422,8.25,6.875,-31.375,#001842,0
423,8.25,42.25,14.125,#470000,0
424,8.3125,18.125,-15.875,#250F2D,1
425,8.3125,19.0,-23.625,#1F0F38,1
426,8.375,11.75,-37.625,#00174C,0
427,8.375,30.375,-35.375,#210649,1
