id,L,a,b,hex_srgb,slice_id
9573,14.4375,-10.375,0.25,#122924,231
9635,14.4375,120.5,-98.25,#6600BB,231
9651,14.5,39.875,-59.5,#01107C,232
9699,14.5625,-45.0,-19.875,#003240,233
9738,14.5625,24.25,6.0,#44141D,233
9753,14.5625,42.625,-22.625,#4D0045,233
9756,14.5625,45.25,9.25,#5A001A,233
9762,14.5625,54.125,-78.625,#00009A,233
9769,14.5625,66.25,-51.25,#530070,233
9780,14.5625,94.0,-91.125,#4100AF,233
9788,14.5625,114.125,-113.375,#2E00D4,233
9792,14.5625,125.125,-118.875,#3D00DE,233
9793,14.625,-40.375,-23.75,#003246,234
9794,14.625,-35.375,-27.25,#00314B,234
9795,14.625,-25.0,-16.5,#002E3C,234
9808,14.625,24.0,-24.25,#341847,234
9821,14.625,53.125,-44.25,#490065,234
9824,14.625,60.125,-25.5,#5F004A,234
9834,14.625,88.75,-62.0,#660081,234
9885,14.6875,65.125,-36.875,#5E005B,235
9887,14.6875,66.75,-86.25,#0000A7,235
9909,14.75,-2.125,-46.125,#002B68,236
9960,14.75,31.25,-19.875,#410F42,236
9972,14.75,40.5,-4.25,#53002C,236
10207,14.8125,46.25,-28.5,#4E004E,237
10217,14.8125,60.75,-47.625,#50006B,237
10345,14.875,13.5,-14.625,#2E1F3A,238
10373,14.875,19.375,-17.25,#341B3E,238
10470,14.875,78.375,-37.625,#6D005C,238
10532,14.9375,-6.625,-5.0,#15292C,239
10681,14.9375,61.0,5.625,#6A0021,239
10688,14.9375,123.5,-107.125,#5C00CB,239
10719,15.0,-7.5,-43.375,#002D64,240
10791,15.0,54.0,-55.625,#3C0077,240
10807,15.0625,-22.75,-9.25,#002E32,241
10829,15.0625,-0.125,-2.5,#242629,241
10840,15.0625,16.875,-40.0,#00215F,241
10841,15.0625,17.875,5.875,#3F1B1E,241
10844,15.0625,32.625,-39.0,#31135E,241
10845,15.0625,34.0,3.5,#4F0622,241
10855,15.0625,52.375,-5.0,#60002E,241
10859,15.0625,71.375,-55.0,#580077,241
10879,15.125,-3.375,-34.25,#002A57,242
10884,15.125,5.0,1.875,#2E2323,242
10885,15.125,8.0,-36.25,#00265A,242
10903,15.125,40.375,24.5,#590000,242
10906,15.125,54.625,-13.0,#600039,242
10911,15.125,58.875,20.25,#6A000B,242
10940,15.1875,25.0,-10.5,#401635,243
10941,15.1875,28.25,11.875,#4B1017,243
10955,15.1875,62.0,-60.125,#43007F,243
10960,15.1875,82.0,-82.75,#3D00A3,243
10979,15.25,10.75,-42.5,#002664,244
11001,15.25,85.875,-87.625,#3A00AB,244
11002,15.25,97.375,-61.5,#740082,244
11003,15.25,107.25,-90.25,#6000B0,244
11011,15.3125,-0.5,-25.25,#00294A,245
11022,15.3125,26.375,-32.25,#301955,245
11041,15.3125,75.25,-91.5,#0000B2,245
11048,15.3125,100.0,-96.125,#4500BA,245
11084,15.4375,34.5,-46.125,#29146A,247
11102,15.5,-66.25,11.0,#003715,248
11114,15.5,-57.375,13.5,#003511,248
11130,15.5,-51.25,14.5,#003410,248
11179,15.5,-40.25,16.0,#00320D,248
11270,15.5,-29.0,17.75,#002F0A,248
11345,15.5,-21.375,18.625,#0B2D08,248
11412,15.5,-15.125,19.75,#1A2C06,248
11499,15.5,-8.25,20.875,#252904,248
11586,15.5,-2.125,21.75,#2D2702,248
11665,15.5,3.0,21.375,#332403,248
11749,15.5,11.375,23.75,#3D2000,248
11789,15.5,16.5,20.25,#421C07,248
11808,15.5,21.125,24.875,#471800,248
11835,15.5,27.75,24.0,#4E1100,248
11878,15.5,73.125,-25.625,#6F004D,248
