id,L,a,b,hex_srgb,in_srgb
406,14.5625,24.25,6.0,#44141D,1
407,14.5625,42.625,-22.625,#4D0045,0
408,14.5625,45.25,9.25,#5A001A,0
409,14.5625,54.125,-78.625,#00009A,0
410,14.5625,66.25,-51.25,#530070,0
411,14.5625,94.0,-91.125,#4100AF,0
412,14.5625,114.125,-113.375,#2E00D4,0
413,14.5625,125.125,-118.875,#3D00DE,0
414,14.625,-40.375,-23.75,#003246,0
415,14.625,-35.375,-27.25,#00314B,0
416,14.625,-25.0,-16.5,#002E3C,0
417,14.625,24.0,-24.25,#341847,1
418,14.625,53.125,-44.25,#490065,0
419,14.625,60.125,-25.5,#5F004A,0
420,14.625,88.75,-62.0,#660081,0
421,14.6875,65.125,-36.875,#5E005B,0
422,14.6875,66.75,-86.25,#0000A7,0
423,14.75,-2.125,-46.125,#002B68,0
424,14.75,31.25,-19.875,#410F42,1
425,14.75,40.5,-4.25,#53002C,0
426,14.8125,46.25,-28.5,#4E004E,0
427,14.8125,60.75,-47.625,#50006B,0
428,14.875,13.5,-14.625,#2E1F3A,1
429,14.875,19.375,-17.25,#341B3E,1
430,14.875,78.375,-37.625,#6D005C,0
431,14.9375,-6.625,-5.0,#15292C,1
432,14.9375,61.0,5.625,#6A0021,0
433,14.9375,123.5,-107.125,#5C00CB,0
434,15.0,-7.5,-43.375,#002D64,0
435,15.0,54.0,-55.625,#3C0077,0
436,15.0625,-22.75,-9.25,#002E32,0
437,15.0625,-0.125,-2.5,#242629,1
438,15.0625,16.875,-40.0,#00215F,0
439,15.0625,17.875,5.875,#3F1B1E,1
440,15.0625,32.625,-39.0,#31135E,1
441,15.0625,34.0,3.5,#4F0622,1
442,15.0625,52.375,-5.0,#60002E,0
443,15.0625,71.375,-55.0,#580077,0
444,15.125,-3.375,-34.25,#002A57,0
445,15.125,5.0,1.875,#2E2323,1
446,15.125,8.0,-36.25,#00265A,0
447,15.125,40.375,24.5,#590000,0
448,15.125,54.625,-13.0,#600039,0
449,15.125,58.875,20.25,#6A000B,0
450,15.1875,25.0,-10.5,#401635,1
451,15.1875,28.25,11.875,#4B1017,1
